text,label
"Regular physical activity and a balanced diet help reduce the risk of cardiovascular disease.",0
"This herbal tea guarantees a 100% cure for stage 4 cancer in just two weeks.",1
"Drinking lemon water with baking soda completely eliminates all viruses and cancer cells overnight.",1
"Type 2 diabetes can often be managed through lifestyle modifications, healthy diet, and prescribed medications.",0
"Big pharma is hiding the secret miracle plant that cures Alzheimer's instantly.",1
"Vaccines undergo rigorous clinical trials and continuous safety monitoring before approval by health agencies.",0
"Stop taking your insulin immediately and eat bitter gourd to cure diabetes permanently.",1
"Antibiotics are specifically designed to treat bacterial infections and are ineffective against viral illnesses like the common cold.",0
"Apply this magnetic patch to your forehead and say goodbye to chronic migraines forever with zero side effects.",1
"Hypertension is a chronic condition that typically requires long-term monitoring and adherence to prescribed antihypertensive drugs.",0
"Doctors don't want you to know about this ancient root that restores full eyesight in 3 days.",1
"Chemotherapy and radiation therapy are evidence-based oncology treatments developed through extensive clinical research.",0
"Boiling garlic water and breathing the steam eliminates COVID-19 from your lungs immediately with no doctor needed.",1
"A high sodium intake is clinically associated with elevated blood pressure in salt-sensitive individuals.",0
"Drinking colloidal silver daily prevents all bacterial, viral, and fungal infections permanently.",1
"Maintaining adequate hydration supports renal function and healthy metabolic processes.",0
"Rubbing raw onion slices on your feet will draw out all toxins and cure pneumonia overnight.",1
"Consistent hand hygiene with soap and water significantly reduces the transmission of enteric and respiratory pathogens.",0
"This secret frequency sound wave dissolves kidney stones in 10 minutes without surgery or medication.",1
"Asthma management typically involves avoiding known environmental triggers and using prescribed inhalers such as corticosteroids.",0
"Eat this rare Amazonian berry to melt 30kg of belly fat in 7 days without exercise or diet changes.",1
"Clinical depression is a multifaceted medical condition influenced by genetic, biological, and psychosocial factors.",0
"Drinking pure hydrogen peroxide cures arthritis and cleanses your bloodstream of all diseases.",1
"Routine mammography screening aids in the early detection of breast cancer in recommended age groups.",0
"Never visit a hospital again because this electrical wristband purifies your blood 24/7.",1
"Colorectal cancer screening, such as colonoscopy, allows for the detection and removal of precancerous polyps.",0
"Miracle mineral solution cures autism and HIV within 48 hours guaranteed.",1
"Regular sleep schedules of 7 to 9 hours for adults are vital for cognitive performance and immune system support.",0
"Eliminate all toxic heavy metals and cure vitiligo with this one simple kitchen spice.",1
"Human papillomavirus (HPV) vaccination significantly reduces the incidence of cervical cancer and related lesions.",0
"Throw away your prescription inhaler and inhale eucalyptus oil smoke to cure asthma instantly.",1
"Coronary artery disease is caused by the buildup of plaque in the arteries that supply blood to the heart.",0
"This bio-resonance scalar pendant shields your cells from cancer-causing 5G radiation and cures chronic fatigue.",1
"Tuberculosis requires a multi-drug antimicrobial regimen taken consistently over several months to achieve eradication and prevent resistance.",0
"Eating raw apricot seeds provides vitamin B17 which 100% destroys tumors while leaving healthy cells untouched.",1
